type	name	current_hits	commit_count	bucket
cvar	hud_mouserate_align_x	0	0	cat3_phantom
cvar	hud_mouserate_align_y	0	0	cat3_phantom
cvar	hud_mouserate_frame	0	0	cat3_phantom
cvar	hud_mouserate_frame_color	0	0	cat3_phantom
cvar	hud_mouserate_order	0	0	cat3_phantom
cvar	hud_mouserate_place	0	0	cat3_phantom
cvar	hud_mouserate_pos_x	0	0	cat3_phantom
cvar	hud_mouserate_pos_y	0	0	cat3_phantom
cvar	hud_mouserate_show	0	0	cat3_phantom
cvar	hud_score_bar_fixed_order	0	0	cat3_phantom
cvar	in_di_buffered	0	1	cat2_removed_stale
cvar	in_di_bufsize	0	1	cat2_removed_stale
cvar	in_evdevice	0	5	cat2_removed_stale
cvar	in_ignore_deadkeys	5	0	cat1_stable_string
cvar	in_m_os_parameters	1	6	cat1_extractor_miss_candidate
cvar	in_m_smooth	1	5	cat1_extractor_miss_candidate
cvar	in_mmt	0	4	cat2_removed_stale
cvar	in_mouse	0	27	cat2_removed_stale
cvar	in_raw_allbuttons	0	3	cat2_removed_stale
cvar	m_forcewheel	0	3	cat2_removed_stale
cvar	m_rate	1	5	cat1_extractor_miss_candidate
cvar	m_showrate	0	5	cat2_removed_stale
cvar	mumble_enabled	0	3	cat2_removed_stale
cvar	mvd_write_xml	0	2	cat2_removed_stale
cvar	not_auth_timeout	0	2	cat2_removed_stale
cvar	r_aliastransadj	0	2	cat2_removed_stale
cvar	r_aliastransbase	0	2	cat2_removed_stale
cvar	r_ambient	0	6	cat2_removed_stale
cvar	r_clearcolor	0	4	cat2_removed_stale
cvar	r_dspeeds	0	3	cat2_removed_stale
cvar	r_glstats	0	2	cat2_removed_stale
cvar	r_graphheight	0	3	cat2_removed_stale
cvar	r_max_size_1	0	4	cat2_removed_stale
cvar	r_maxedges	0	3	cat2_removed_stale
cvar	r_maxsurfs	0	3	cat2_removed_stale
cvar	r_numedges	0	3	cat2_removed_stale
cvar	r_numsurfs	0	3	cat2_removed_stale
cvar	r_polymodelstats	0	2	cat2_removed_stale
cvar	r_reportedgeout	0	3	cat2_removed_stale
cvar	r_reportsurfout	0	3	cat2_removed_stale
cvar	r_timegraph	0	3	cat2_removed_stale
cvar	r_turbwarp	0	2	cat2_removed_stale
cvar	r_zgraph	0	2	cat2_removed_stale
cvar	s_alsa_device	0	9	cat2_removed_stale
cvar	s_alsa_latency	0	6	cat2_removed_stale
cvar	s_alsa_noworkaround	0	3	cat2_removed_stale
cvar	s_bits	0	21	cat2_removed_stale
cvar	s_device	0	23	cat2_removed_stale
cvar	s_driver	0	12	cat2_removed_stale
cvar	s_mixahead	0	5	cat2_removed_stale
cvar	s_noalsa	0	8	cat2_removed_stale
cvar	s_noextraupdate	0	3	cat2_removed_stale
cvar	s_oss_device	0	10	cat2_removed_stale
cvar	s_pulseaudio_latency	0	4	cat2_removed_stale
cvar	s_stereo	0	17	cat2_removed_stale
cvar	s_uselegacydrivers	0	3	cat2_removed_stale
cvar	sb_showcounters	0	7	cat2_removed_stale
cvar	scr_autoid_drawname	0	3	cat2_removed_stale
cvar	scr_weaponstats	0	4	cat2_removed_stale
cvar	scr_weaponstats_align_right	0	1	cat2_removed_stale
cvar	scr_weaponstats_frame_color	1	2	cat1_extractor_miss_candidate
cvar	scr_weaponstats_order	1	2	cat1_extractor_miss_candidate
cvar	scr_weaponstats_scale	1	2	cat1_extractor_miss_candidate
cvar	scr_weaponstats_x	1	2	cat1_extractor_miss_candidate
cvar	scr_weaponstats_y	1	2	cat1_extractor_miss_candidate
cvar	showram	0	8	cat2_removed_stale
cvar	skin_browser_democolor	0	3	cat2_removed_stale
cvar	skin_browser_dircolor	0	5	cat2_removed_stale
cvar	skin_browser_interline	0	3	cat2_removed_stale
cvar	skin_browser_scrollnames	0	3	cat2_removed_stale
cvar	skin_browser_selectedcolor	0	3	cat2_removed_stale
cvar	skin_browser_showdate	0	3	cat2_removed_stale
cvar	skin_browser_showsize	0	3	cat2_removed_stale
cvar	skin_browser_showstatus	0	3	cat2_removed_stale
cvar	skin_browser_showtime	0	3	cat2_removed_stale
cvar	skin_browser_sortmode	0	3	cat2_removed_stale
cvar	skin_browser_stripnames	0	3	cat2_removed_stale
cvar	skin_browser_zipcolor	0	5	cat2_removed_stale
cvar	sv_aim	0	3	cat2_removed_stale
cvar	sv_cpserver	0	2	cat2_removed_stale
cvar	sv_cullentities	0	4	cat2_removed_stale
cvar	sv_demonovis	0	2	cat2_removed_stale
cvar	sv_fastconnect	0	2	cat2_removed_stale
cvar	sv_highchars	4	3	cat1_extractor_miss_candidate
cvar	sv_ktpro_mode	0	2	cat2_removed_stale
cvar	sv_qwfwd_port	0	2	cat2_removed_stale
cvar	sv_timeout	0	4	cat2_removed_stale
cvar	sv_use_internal_cmd_dl	0	2	cat2_removed_stale
cvar	sw_contrast	0	2	cat2_removed_stale
cvar	sw_gamma	0	2	cat2_removed_stale
cvar	telnet_password	0	2	cat2_removed_stale
cvar	userdir	6	16	cat1_extractor_miss_candidate
cvar	vid_conaspect	0	1	cat2_removed_stale
cvar	vid_config_x	0	3	cat2_removed_stale
cvar	vid_config_y	0	3	cat2_removed_stale
cvar	vid_customheight	0	2	cat2_removed_stale
cvar	vid_customwidth	0	2	cat2_removed_stale
cvar	vid_depthbits	0	3	cat2_removed_stale
cvar	vid_forcerestoregamma	0	4	cat2_removed_stale
cvar	vid_fullscreen_mode	0	3	cat2_removed_stale
cvar	vid_mode	1	27	cat1_extractor_miss_candidate
